Rank,Country,2016,2017,2018,2019,2020
1.0,India,356729.0,384628.0,424887.0,107147.0,89357.0
2.0,United Kingdom,188159.0,201879.0,254176.0,85468.0,55455.0
6.0,Russia,58176.0,59191.0,65497.0,39187.0,49397.0
4.0,Germany,133275.0,130227.0,156888.0,49429.0,34507.0
3.0,China[14],271577.0,268952.0,265965.0,78212.0,26147.0
5.0,France,96440.0,97282.0,106449.0,43144.0,24838.0
7.0,Australia,74496.0,81281.0,110928.0,30619.0,20283.0
8.0,United States,54254.0,57479.0,75308.0,30070.0,16842.0
9.0,Ukraine,,,,16073.0,16776.0
10.0,Canada,,,,18320.0,12436.0
11.0,Maldives,95167.0,79371.0,76108.0,,
12.0,Netherlands,41373.0,51148.0,57160.0,,
